Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Order_Day,Order_Month,Order_Year,Ship_Day,Ship_Month,Ship_Year,Shipping_Delay,Profit_Margin
21,Ca-2014-143336,2014-08-27,2014-01-09,Second Class,Zd-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Off-Bi-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.38,27,August,2014,9,January,2014,-230,0.32
22,Ca-2016-137330,2016-09-12,2016-12-13,Standard Class,Kb-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Off-Ar-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.06,12,September,2016,13,December,2016,92,0.26
23,Ca-2016-137330,2016-09-12,2016-12-13,Standard Class,Kb-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Off-Ap-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.69,12,September,2016,13,December,2016,92,0.26
24,Us-2017-156909,2017-07-16,2017-07-18,Second Class,Sf-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Fur-Ch-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37,2,0.3,-1.02,16,July,2017,18,July,2017,2,-0.01
25,Ca-2015-106320,2015-09-25,2015-09-30,Standard Class,Eb-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,Fur-Ta-10000577,Furniture,Tables,Bretford Cr4500 Series Slim Rectangular Table,1044.63,3,0.0,240.26,25,September,2015,30,September,2015,5,0.23
26,Ca-2016-121755,2016-01-16,2016-01-20,Second Class,Eh-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Off-Bi-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,2,0.2,4.22,16,January,2016,20,January,2016,4,0.36
27,Ca-2016-121755,2016-01-16,2016-01-20,Second Class,Eh-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Tec-Ac-10003027,Technology,Accessories,Imation 8Gb Mini Traveldrive Usb 2.0 Flash Drive,90.57,3,0.0,11.77,16,January,2016,20,January,2016,4,0.13
28,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Fur-Bo-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.05,17,September,2015,21,September,2015,4,-0.54
29,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-Bi-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers For Binding Systems,9.62,2,0.7,-7.05,17,September,2015,21,September,2015,4,-0.73
30,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Fur-Fu-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.52,17,September,2015,21,September,2015,4,0.12
31,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-En-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.26,2,0.2,1.1,17,September,2015,21,September,2015,4,0.34
32,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-Ar-10004042,Office Supplies,Art,"Boston Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.3,6,0.2,9.71,17,September,2015,21,September,2015,4,0.11
33,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-Bi-10001525,Office Supplies,Binders,"Acco Pressboard Covers With Storage Hooks, 14 7/8"" X 11"", Executive Red",6.86,6,0.7,-5.72,17,September,2015,21,September,2015,4,-0.83
34,Us-2015-150630,2015-09-17,2015-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-Ar-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.55,17,September,2015,21,September,2015,4,0.23
35,Ca-2017-107727,2017-10-19,2017-10-23,Second Class,Ma-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,Off-Pa-10000249,Office Supplies,Paper,Easy-Staple Paper,29.47,3,0.2,9.95,19,October,2017,23,October,2017,4,0.34
36,Ca-2016-117590,2016-08-12,2016-10-12,First Class,Gh-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Tec-Ph-10004977,Technology,Phones,Ge 30524Ee4,1097.54,7,0.2,123.47,12,August,2016,12,October,2016,61,0.11
37,Ca-2016-117590,2016-08-12,2016-10-12,First Class,Gh-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Fur-Fu-10003664,Furniture,Furnishings,"Electrix Architect'S Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.96,12,August,2016,12,October,2016,61,-0.77
38,Ca-2015-117415,2015-12-27,2015-12-31,Standard Class,Sn-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Off-En-10002986,Office Supplies,Envelopes,"#10-4 1/8"" X 9 1/2"" Premium Diagonal Seam Envelopes",113.33,9,0.2,35.42,27,December,2015,31,December,2015,4,0.31
39,Ca-2015-117415,2015-12-27,2015-12-31,Standard Class,Sn-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Fur-Bo-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.4,3,0.32,-46.98,27,December,2015,31,December,2015,4,-0.09
40,Ca-2015-117415,2015-12-27,2015-12-31,Standard Class,Sn-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Fur-Ch-10004218,Furniture,Chairs,"Global Fabric Manager'S Chair, Dark Gray",212.06,3,0.3,-15.15,27,December,2015,31,December,2015,4,-0.07
41,Ca-2015-117415,2015-12-27,2015-12-31,Standard Class,Sn-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Tec-Ph-10000486,Technology,Phones,Plantronics Hl10 Handset Lifter,371.17,4,0.2,41.76,27,December,2015,31,December,2015,4,0.11
42,Ca-2017-120999,2017-10-09,2017-09-15,Standard Class,Lc-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,Tec-Ph-10004093,Technology,Phones,Panasonic Kx-Ts550,147.17,4,0.2,16.56,9,October,2017,15,September,2017,-24,0.11
43,Ca-2016-101343,2016-07-17,2016-07-22,Standard Class,Ra-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,Off-St-10003479,Office Supplies,Storage,"Eldon Base For Stackable Storage Shelf, Platinum",77.88,2,0.0,3.89,17,July,2016,22,July,2016,5,0.05
44,Ca-2017-139619,2017-09-19,2017-09-23,Standard Class,Es-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,Off-St-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2,0.2,9.56,19,September,2017,23,September,2017,4,0.1
45,Ca-2016-118255,2016-11-03,2016-03-13,First Class,On-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Tec-Ac-10000171,Technology,Accessories,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.77,3,November,2016,13,March,2016,-235,0.43
46,Ca-2016-118255,2016-11-03,2016-03-13,First Class,On-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Off-Bi-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders With Dubllock Round Rings,17.46,2,0.0,8.21,3,November,2016,13,March,2016,-235,0.47
47,Ca-2014-146703,2014-10-20,2014-10-25,Second Class,Po-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,Off-St-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8W X 5-1/4D X 20-1/2H, Black",211.96,4,0.0,8.48,20,October,2014,25,October,2014,5,0.04
48,Ca-2016-169194,2016-06-20,2016-06-25,Standard Class,Lh-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Tec-Ac-10002167,Technology,Accessories,Imation 8Gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,20,June,2016,25,June,2016,5,0.11
49,Ca-2016-169194,2016-06-20,2016-06-25,Standard Class,Lh-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Tec-Ph-10003988,Technology,Phones,"Lf Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen And Wiper For Apple Iphone 5C Mini Lite",21.8,2,0.0,6.1,20,June,2016,25,June,2016,5,0.28
50,Ca-2015-115742,2015-04-18,2015-04-22,Standard Class,Dp-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Off-Bi-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 X 5-1/8, 10/Pack",38.22,6,0.0,17.96,18,April,2015,22,April,2015,4,0.47
51,Ca-2015-115742,2015-04-18,2015-04-22,Standard Class,Dp-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Off-La-10002762,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.33,18,April,2015,22,April,2015,4,0.47
52,Ca-2015-115742,2015-04-18,2015-04-22,Standard Class,Dp-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Fur-Fu-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.96,18,April,2015,22,April,2015,4,0.48
53,Ca-2015-115742,2015-04-18,2015-04-22,Standard Class,Dp-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Fur-Ch-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.1,18,April,2015,22,April,2015,4,0.19
54,Ca-2016-105816,2016-11-12,2016-12-17,Standard Class,Jm-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Off-Fa-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.26,12,November,2016,17,December,2016,35,0.41
55,Ca-2016-105816,2016-11-12,2016-12-17,Standard Class,Jm-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Tec-Ph-10002447,Technology,Phones,At&T Cl83451 4-Handset Telephone,1029.95,5,0.0,298.69,12,November,2016,17,December,2016,35,0.29
56,Ca-2016-111682,2016-06-17,2016-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Off-St-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,17,June,2016,18,June,2016,1,0.25
57,Ca-2016-111682,2016-06-17,2016-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Off-Pa-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.55,17,June,2016,18,June,2016,1,0.48
58,Ca-2016-111682,2016-06-17,2016-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Fur-Ch-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.1,17,June,2016,18,June,2016,1,0.02
59,Ca-2016-111682,2016-06-17,2016-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Off-Pa-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.99,17,June,2016,18,June,2016,1,0.48
60,Ca-2016-111682,2016-06-17,2016-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Tec-Ac-10002167,Technology,Accessories,Imation 8Gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,17,June,2016,18,June,2016,1,0.11
61,Ca-2016-111682,2016-06-17,2016-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Off-Bi-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.36,17,June,2016,18,June,2016,1,0.34
62,Ca-2016-111682,2016-06-17,2016-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Off-Ar-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,17,June,2016,18,June,2016,1,0.5
63,Ca-2015-135545,2015-11-24,2015-11-30,Standard Class,Km-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Tec-Ac-10004633,Technology,Accessories,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.15,24,November,2015,30,November,2015,6,0.44
64,Ca-2015-135545,2015-11-24,2015-11-30,Standard Class,Km-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Off-Bi-10001078,Office Supplies,Binders,"Acco Presstex Data Binder With Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,6,0.2,9.36,24,November,2015,30,November,2015,6,0.36
65,Ca-2015-135545,2015-11-24,2015-11-30,Standard Class,Km-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Off-Pa-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.96,24,November,2015,30,November,2015,6,0.47
66,Ca-2015-135545,2015-11-24,2015-11-30,Standard Class,Km-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Fur-Fu-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.33,24,November,2015,30,November,2015,6,0.28
67,Us-2015-164175,2015-04-30,2015-05-05,Standard Class,Ps-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,Fur-Ch-10001146,Furniture,Chairs,"Global Value Mid-Back Manager'S Chair, Gray",213.12,5,0.3,-15.22,30,April,2015,5,May,2015,5,-0.07
68,Ca-2014-106376,2014-05-12,2014-10-12,Standard Class,Bs-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Off-Ar-10002671,Office Supplies,Art,"Hunt Boston Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,0.2,111.3,12,May,2014,12,October,2014,153,0.1
69,Ca-2014-106376,2014-05-12,2014-10-12,Standard Class,Bs-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Tec-Ph-10002726,Technology,Phones,Nettalk Duo Voip Telephone Service,167.97,4,0.2,62.99,12,May,2014,12,October,2014,153,0.38
70,Ca-2016-119823,2016-04-06,2016-06-06,First Class,Kd-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,Off-Pa-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.66,6,April,2016,6,June,2016,61,0.47
71,Ca-2016-106075,2016-09-18,2016-09-23,Standard Class,Hm-14980,Henry Macallister,Consumer,United States,New York City,New York,10009,East,Off-Bi-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,1,0.2,1.73,18,September,2016,23,September,2016,5,0.37
72,Ca-2017-114440,2017-09-14,2017-09-17,Second Class,Tb-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,Off-Pa-10004675,Office Supplies,Paper,"Telephone Message Books With Fax/Mobile Section, 5 1/2"" X 3 3/16""",19.05,3,0.0,8.76,14,September,2017,17,September,2017,3,0.46
73,Us-2015-134026,2015-04-26,2015-02-05,Standard Class,Je-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Fur-Ch-10000513,Furniture,Chairs,High-Back Leather Manager'S Chair,831.94,8,0.2,-114.39,26,April,2015,5,February,2015,-80,-0.14
74,Us-2015-134026,2015-04-26,2015-02-05,Standard Class,Je-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Fur-Fu-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats For Medium Pile Carpet, Standard Lip, 36"" X 48""",97.04,2,0.2,1.21,26,April,2015,5,February,2015,-80,0.01
75,Us-2015-134026,2015-04-26,2015-02-05,Standard Class,Je-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Off-St-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78,1,0.2,-18.2,26,April,2015,5,February,2015,-80,-0.25
76,Us-2017-118038,2017-09-12,2017-11-12,First Class,Kb-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Off-Bi-10004182,Office Supplies,Binders,Economy Binders,1.25,3,0.8,-1.93,12,September,2017,12,November,2017,61,-1.54
77,Us-2017-118038,2017-09-12,2017-11-12,First Class,Kb-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Fur-Fu-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.71,3,0.6,-5.82,12,September,2017,12,November,2017,61,-0.6
78,Us-2017-118038,2017-09-12,2017-11-12,First Class,Kb-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Off-St-10000615,Office Supplies,Storage,"Simplifile Personal File, Black Granite, 15W X 6-15/16D X 11-1/4H",27.24,3,0.2,2.72,12,September,2017,12,November,2017,61,0.1
79,Us-2014-147606,2014-11-26,2014-01-12,Second Class,Je-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,Fur-Fu-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.48,26,November,2014,12,January,2014,-318,-0.75
80,Ca-2016-127208,2016-12-06,2016-06-15,First Class,Sc-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Off-Ap-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2,6,December,2016,15,June,2016,-174,0.27
81,Ca-2016-127208,2016-12-06,2016-06-15,First Class,Sc-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Off-Bi-10002309,Office Supplies,Binders,Avery Heavy-Duty Ezd  Binder With Locking Rings,16.74,3,0.0,8.04,6,December,2016,15,June,2016,-174,0.48
82,Ca-2014-139451,2014-12-10,2014-10-16,Standard Class,Dn-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Off-Ar-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 By Central Association For The Blind",14.9,5,0.0,4.17,10,December,2014,16,October,2014,-55,0.28
83,Ca-2014-139451,2014-12-10,2014-10-16,Standard Class,Dn-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Off-St-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2,10,December,2014,16,October,2014,-55,0.29
84,Ca-2015-149734,2015-03-09,2015-08-09,Standard Class,Jc-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,Off-En-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98,7,0.2,62.81,9,March,2015,9,August,2015,153,0.31
85,Us-2017-119662,2017-11-13,2017-11-16,First Class,Cs-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,Off-St-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38,3,0.2,-48.95,13,November,2017,16,November,2017,3,-0.21
86,Ca-2017-140088,2017-05-28,2017-05-30,Second Class,Po-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,Fur-Ch-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.22,28,May,2017,30,May,2017,2,0.11
87,Ca-2017-155558,2017-10-26,2017-02-11,Standard Class,Pg-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Tec-Ac-10001998,Technology,Accessories,Logitech Ls21 Speaker System - Pc Multimedia - 2.1-Ch - Wired,19.99,1,0.0,6.8,26,October,2017,11,February,2017,-257,0.34
88,Ca-2017-155558,2017-10-26,2017-02-11,Standard Class,Pg-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Off-La-10000134,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.96,26,October,2017,11,February,2017,-257,0.48
89,Ca-2016-159695,2016-05-04,2016-10-04,Second Class,Gm-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,Off-St-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.37,7,0.2,13.86,4,May,2016,4,October,2016,153,0.09
90,Ca-2016-109806,2016-09-17,2016-09-22,Standard Class,Js-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Off-Ar-10004930,Office Supplies,Art,Turquoise Lead Holder With Pocket Clip,20.1,3,0.0,6.63,17,September,2016,22,September,2016,5,0.33
91,Ca-2016-109806,2016-09-17,2016-09-22,Standard Class,Js-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Tec-Ph-10004093,Technology,Phones,Panasonic Kx-Ts550,73.58,2,0.2,8.28,17,September,2016,22,September,2016,5,0.11
